Store no., STARHUB ETOP UP $8 , STARHUB ETOP UP $17 , STARHUB ETOP UP $18 , STARHUB ETOP UP $25 , STARHUB ETOP UP $28 , STARHUB ETOP UP $50 , Total $ ,Total Qty
375, $768.00 , $-   , $576.00 , $-   , $420.00 , $50.00 ," $1,814.00 ",144
378, $992.00 , $-   , $702.00 , $-   , $280.00 , $100.00 ," $2,074.00 ",175
379, $512.00 , $34.00 , $360.00 , $-   , $84.00 , $-   , $990.00 ,89
380, $360.00 , $17.00 , $234.00 , $-   , $252.00 , $50.00 , $913.00 ,69
382, $144.00 , $17.00 , $36.00 , $-   , $28.00 , $-   , $225.00 ,22
386, $272.00 , $-   , $306.00 , $-   , $252.00 , $-   , $830.00 ,60
388, $176.00 , $-   , $252.00 , $-   , $84.00 , $-   , $512.00 ,39
390, $232.00 , $-   , $144.00 , $-   , $56.00 , $-   , $432.00 ,39
391, $528.00 , $17.00 , $252.00 , $-   , $252.00 , $-   ," $1,049.00 ",90
392," $1,024.00 ", $-   ," $1,260.00 ", $50.00 , $980.00 , $50.00 ," $3,364.00 ",236
393, $128.00 , $-   , $108.00 , $25.00 , $28.00 , $-   , $289.00 ,24
394, $408.00 , $-   , $216.00 , $-   , $168.00 , $-   , $792.00 ,69
396," $1,392.00 ", $136.00 ," $1,098.00 ", $25.00 , $672.00 , $-   ," $3,323.00 ",268
397, $752.00 , $68.00 , $756.00 , $-   , $448.00 , $-   ," $2,024.00 ",156
399," $1,232.00 ", $-   , $864.00 , $-   , $532.00 , $50.00 ," $2,678.00 ",222
404, $272.00 , $34.00 , $486.00 , $50.00 , $112.00 , $-   , $954.00 ,69
405, $744.00 , $17.00 , $432.00 , $-   , $224.00 , $-   ," $1,417.00 ",126
406, $440.00 , $85.00 , $216.00 , $-   , $224.00 , $-   , $965.00 ,80
408," $1,152.00 ", $-   ," $1,044.00 ", $75.00 , $392.00 , $400.00 ," $3,063.00 ",227
409, $248.00 , $51.00 , $360.00 , $-   , $168.00 , $100.00 , $927.00 ,62
410, $176.00 , $-   , $162.00 , $-   , $28.00 , $-   , $366.00 ,32
413," $1,104.00 ", $68.00 , $558.00 , $25.00 , $448.00 , $-   ," $2,203.00 ",190
414, $224.00 , $17.00 , $162.00 , $25.00 , $224.00 , $100.00 , $752.00 ,49
417, $296.00 , $17.00 , $144.00 , $-   , $56.00 , $-   , $513.00 ,48
418, $96.00 , $-   , $90.00 , $-   , $112.00 , $100.00 , $398.00 ,23
421, $576.00 , $-   , $594.00 , $25.00 , $224.00 , $50.00 ," $1,469.00 ",115
423, $336.00 , $-   , $198.00 , $25.00 , $252.00 , $-   , $811.00 ,63
425, $384.00 , $17.00 , $198.00 , $-   , $420.00 , $-   ," $1,019.00 ",75
427, $792.00 , $17.00 , $360.00 , $-   , $280.00 , $-   ," $1,449.00 ",130
